date,week,year,region,temperature,humidity,precipitation,wind_speed
2020-01-05,1,2020,Île-de-France,5.6,51.1,1.2,10.4
2020-01-12,2,2020,Île-de-France,6.0,45.5,5.6,16.9
2020-01-19,3,2020,Île-de-France,10.5,44.6,3.3,0.2
2020-01-26,4,2020,Île-de-France,12.5,51.9,8.8,28.0
2020-02-02,5,2020,Île-de-France,9.6,34.5,15.6,6.9
2020-02-09,6,2020,Île-de-France,10.2,34.5,4.8,4.3
2020-02-16,7,2020,Île-de-France,10.4,34.8,18.3,8.9
2020-02-23,8,2020,Île-de-France,13.0,54.2,2.0,6.2
2020-03-01,9,2020,Île-de-France,16.9,36.8,2.5,6.1
2020-03-08,10,2020,Île-de-France,13.5,52.6,0.1,9.2
2020-03-15,11,2020,Île-de-France,8.2,42.7,4.5,23.5
2020-03-22,12,2020,Île-de-France,17.5,47.1,0.7,0.8
2020-03-29,13,2020,Île-de-France,18.1,55.2,6.7,7.2
2020-04-05,14,2020,Île-de-France,22.5,62.7,0.1,2.7
2020-04-12,15,2020,Île-de-France,19.9,67.8,0.9,4.0
2020-04-19,16,2020,Île-de-France,17.3,35.9,1.0,12.9
2020-04-26,17,2020,Île-de-France,23.8,51.4,3.1,46.9
2020-05-03,18,2020,Île-de-France,26.4,67.3,0.9,0.8
2020-05-10,19,2020,Île-de-France,21.9,79.8,9.6,1.6
2020-05-17,20,2020,Île-de-France,26.9,76.7,1.6,7.4
2020-05-24,21,2020,Île-de-France,24.2,58.0,1.6,57.1
2020-05-31,22,2020,Île-de-France,25.4,62.2,4.9,2.8
2020-06-07,23,2020,Île-de-France,25.8,64.1,12.4,1.1
2020-06-14,24,2020,Île-de-France,29.3,80.0,4.8,6.9
2020-06-21,25,2020,Île-de-France,28.5,57.8,2.8,3.8
2020-06-28,26,2020,Île-de-France,26.5,70.6,0.2,4.9
2020-07-05,27,2020,Île-de-France,25.2,100.0,2.3,1.2
2020-07-12,28,2020,Île-de-France,22.4,90.4,3.6,4.5
2020-07-19,29,2020,Île-de-France,21.3,88.4,9.5,0.9
2020-07-26,30,2020,Île-de-France,21.2,89.8,0.9,1.7
2020-08-02,31,2020,Île-de-France,23.2,66.5,2.7,8.4
2020-08-09,32,2020,Île-de-France,18.9,85.6,2.4,9.0
2020-08-16,33,2020,Île-de-France,19.2,73.6,5.1,3.0
