date,week,year_x,region,urgences_grippe,urgences_totales,temperature,humidity,region_code,population_totale,pct_65_plus,year_y,source,vaccination_2020,vaccination_2021,vaccination_2022,vaccination_2023,vaccination_2024,vaccination_2025,incidence_nationale,risk_density,risk_age,risk_weather,risk_vaccination,month,risk_seasonal,urgences_ma4,urgences_trend,risk_trend,urgences_zscore,risk_anomaly,alert_score
2020-01-05,1,2020,Île-de-France,58.0,576.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,14.56,2,1,1,1,1,2,,,1,-0.5553059484126335,1,65.0
2020-01-12,2,2020,Île-de-France,99.0,994.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,19.49,2,1,1,1,1,2,,,1,0.8843279740529062,1,65.0
2020-01-19,3,2020,Île-de-France,80.0,796.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,36.24,2,1,1,1,1,2,,,1,0.21718054656887562,1,65.0
2020-01-26,4,2020,Île-de-France,94.0,944.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,27.97,2,1,1,1,1,2,82.75,1.13595166163142,1,0.7087628615571087,1,65.0
2020-02-02,5,2020,Île-de-France,120.0,1200.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,10.04,2,1,1,1,2,2,98.25,1.2213740458015268,1,-0.9467317002809931,1,65.0
2020-02-09,6,2020,Île-de-France,163.0,1633.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,36.42,2,1,1,1,2,2,114.25,1.4266958424507659,1,0.17887557470746904,1,65.0
2020-02-16,7,2020,Île-de-France,191.0,1908.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,37.66,2,1,1,1,2,2,142.0,1.3450704225352113,1,0.9118291491185606,1,65.0
2020-02-23,8,2020,Île-de-France,180.0,1803.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,43.14,2,1,1,1,2,2,163.5,1.1009174311926606,1,0.623883102028489,1,65.0
2020-03-01,9,2020,Île-de-France,243.0,2433.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,37.82,2,1,1,1,3,2,194.25,1.250965250965251,1,-0.6050757196458243,1,65.0
2020-03-08,10,2020,Île-de-France,268.0,2685.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,42.11,2,1,1,1,3,2,220.5,1.215419501133787,1,0.010951596735671344,1,65.0
2020-03-15,11,2020,Île-de-France,230.0,2296.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,60.95,2,1,1,1,3,2,230.25,0.998914223669924,1,-0.925409924164202,1,65.0
2020-03-22,12,2020,Île-de-France,266.0,2655.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,56.59,2,1,1,1,3,2,251.75,1.0566037735849056,1,-0.03833058857484831,1,65.0
2020-03-29,13,2020,Île-de-France,356.0,3562.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,58.38,2,1,1,1,3,2,280.0,1.2714285714285714,1,2.179367750398536,2,70.0
2020-04-05,14,2020,Île-de-France,338.0,3383.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,68.64,2,1,1,1,4,1,297.5,1.1361344537815126,1,-1.2310583957838968,1,57.50000000000001
2020-04-12,15,2020,Île-de-France,386.0,3860.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,55.87,2,1,1,1,4,1,336.5,1.1471025260029717,1,0.27023233078183045,1,57.50000000000001
2020-04-19,16,2020,Île-de-France,395.0,3947.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,76.28,2,1,1,1,4,1,368.75,1.071186440677966,1,0.5517243420129043,1,57.50000000000001
2020-04-26,17,2020,Île-de-France,427.0,4270.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,85.02,2,1,1,1,4,1,386.5,1.1047865459249677,1,1.552584826390056,1,57.50000000000001
2020-05-03,18,2020,Île-de-France,410.0,4095.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,74.46,2,1,1,1,5,1,404.5,1.0135970333745365,1,-1.5992366323696963,1,57.50000000000001
2020-05-10,19,2020,Île-de-France,444.0,4444.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,94.61,2,1,1,1,5,1,419.0,1.0596658711217184,1,-0.29193544936401455,1,57.50000000000001
2020-05-17,20,2020,Île-de-France,487.0,4867.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,75.87,2,1,1,1,5,1,442.0,1.1018099547511313,1,1.36141604679023,1,57.50000000000001
2020-05-24,21,2020,Île-de-France,476.0,4764.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,88.07,2,1,1,1,5,1,454.25,1.0478811227297744,1,0.9384656640530977,1,57.50000000000001
2020-05-31,22,2020,Île-de-France,433.0,4328.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,80.23,2,1,1,1,5,1,460.0,0.941304347826087,1,-0.7148858321011469,1,57.50000000000001
2020-06-07,23,2020,Île-de-France,448.0,4484.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,73.97,2,1,1,1,6,1,461.0,0.9718004338394793,1,-1.267881176793752,1,57.50000000000001
2020-06-14,24,2020,Île-de-France,461.0,4614.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,87.23,2,1,1,1,6,1,454.5,1.0143014301430142,1,-0.41420819321548924,1,57.50000000000001
2020-06-21,25,2020,Île-de-France,473.0,4726.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,76.79,2,1,1,1,6,1,453.75,1.0424242424242425,1,0.3737976377798301,1,57.50000000000001
2020-06-28,26,2020,Île-de-France,445.0,4451.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,79.05,2,1,1,1,6,1,456.75,0.9742747673782156,1,-1.4648826345425818,1,57.50000000000001
2020-07-05,27,2020,Île-de-France,455.0,4550.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,67.11,2,1,1,1,7,1,458.5,0.9923664122137404,1,0.6312656088126611,1,57.50000000000001
2020-07-12,28,2020,Île-de-France,451.0,4509.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,89.29,2,1,1,1,7,1,456.0,0.9890350877192983,1,0.49007932211047434,1,57.50000000000001
2020-07-19,29,2020,Île-de-France,453.0,4529.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,95.54,2,1,1,1,7,1,451.0,1.0044345898004434,1,0.5606724654615677,1,57.50000000000001
2020-07-26,30,2020,Île-de-France,431.0,4311.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,70.02,2,1,1,1,7,1,447.5,0.9631284916201117,1,-0.21585211140045954,1,57.50000000000001
2020-08-02,31,2020,Île-de-France,364.0,3637.0,,,11,12278200,16.5,2023,INSEE_estimations_2023,49.9,52.1,44.1,48.0,48.9,50.9,89.78,2,1,1,1,8,1,424.75,0.8569746909947028,1,0.7809448883544117,1,57.50000000000001
