1er jour de la semaine;Semaine;Classe d'âge;Taux de passages aux urgences pour grippe;Taux d'hospitalisations après passages aux urgences pour grippe;Taux d'actes médicaux SOS médecins pour grippe
2019-12-30;2020-S01;Tous âges;900.94982103;400.70930152;4468.3846483
2020-01-06;2020-S02;15-64 ans;810.70694378;471.76050439;6489.1711448
2020-01-06;2020-S02;65 ans ou plus;231.13371085;271.61463447;1668.7268232
2020-01-13;2020-S03;05-14 ans;1759.1373899;772.05882353;10660.142777
2020-01-20;2020-S04;65 ans ou plus;413.80131583;482.38611272;2780.0658979
2020-01-27;2020-S05;65 ans ou plus;685.58397321;900.99075736;3787.0706209
2020-01-27;2020-S05;Tous âges;2685.0501463;1350.6646778;15200.514735
2020-02-03;2020-S06;05-14 ans;5024.0820114;2186.740715;23010.390666
2020-02-03;2020-S06;65 ans ou plus;728.99049396;986.81987158;3815.2610442
2020-02-10;2020-S07;00-04 ans;7576.4991028;5246.7855662;13313.902332
2020-02-10;2020-S07;05-14 ans;5214.3542317;3461.9545618;23257.350512
2020-02-24;2020-S09;15-64 ans;1658.3828638;974.4160178;13342.233898
2020-02-24;2020-S09;Tous âges;2102.7699368;1264.9189024;11438.197826
2020-03-02;2020-S10;Tous âges;1771.1852063;1032.9143809;10466.39554
2020-03-09;2020-S11;15-64 ans;1935.9589683;1226.9111501;11515.326898
2020-03-30;2020-S14;00-04 ans;318.29756275;297.79630733;381.78347423
2020-04-06;2020-S15;05-14 ans;170.94017094;134.04825737;214.66905188
2020-04-06;2020-S15;15-64 ans;348.26807229;198.77751826;402.44563114
2020-04-06;2020-S15;65 ans ou plus;120.62470902;137.64895583;162.5190452
2020-04-13;2020-S16;05-14 ans;166.86133823;120.77294686;209.20502092
2020-04-20;2020-S17;00-04 ans;160.28087315;57.208237986;118.16838996
2020-04-20;2020-S17;05-14 ans;100.79863534;120.77294686;215.9050018
2020-04-20;2020-S17;65 ans ou plus;50.012002881;51.375276636;129.00451516
2020-04-27;2020-S18;Tous âges;87.375119523;56.330975778;224.60462639
2020-05-04;2020-S19;00-04 ans;137.28181996;0.0;72.868593636
2020-05-11;2020-S20;00-04 ans;86.608927382;54.6149645;142.93882218
2020-05-11;2020-S20;15-64 ans;67.20768856;28.300551861;256.11268958
2020-05-18;2020-S21;00-04 ans;99.595758392;0.0;139.40520446
2020-05-18;2020-S21;05-14 ans;50.231062889;0.0;171.82130584
2020-05-25;2020-S22;65 ans ou plus;10.901558923;10.699383002;66.774778212
2020-06-08;2020-S24;15-64 ans;28.324893436;30.690985619;253.21724652
2020-06-08;2020-S24;65 ans ou plus;6.2789419983;7.0360598065;80.59641346
2020-06-15;2020-S25;15-64 ans;21.767810026;25.643217369;234.20841053
2020-06-15;2020-S25;Tous âges;19.639934534;15.926384711;170.36137908
2020-06-22;2020-S26;15-64 ans;27.119981263;12.306177701;212.0426778
2020-06-22;2020-S26;65 ans ou plus;13.334123504;13.73060552;38.658548372
2020-06-29;2020-S27;05-14 ans;41.991811597;0.0;231.90326321
2020-06-29;2020-S27;15-64 ans;32.196923675;12.449682533;283.15389881
2020-07-06;2020-S28;65 ans ou plus;7.3378338714;3.5171637591;66.287878788
2020-07-13;2020-S29;05-14 ans;51.19953189;0.0;387.09677419
2020-07-20;2020-S30;Tous âges;40.163951309;15.719974848;219.86075486
2020-07-27;2020-S31;05-14 ans;36.959012455;38.955979743;247.52475248
2020-07-27;2020-S31;65 ans ou plus;8.6513921532;7.0207463053;77.446002926
2020-08-03;2020-S32;05-14 ans;26.980150318;0.0;76.045627376
2020-08-03;2020-S32;Tous âges;38.777113953;24.842516192;197.23530512
2020-08-10;2020-S33;Tous âges;39.51923705;11.910230888;191.60820992
2020-08-17;2020-S34;00-04 ans;41.999160017;0.0;108.85341074
2020-08-17;2020-S34;05-14 ans;25.932649205;0.0;56.137724551
2020-08-24;2020-S35;15-64 ans;71.623672231;34.675566729;241.87785168
2020-08-24;2020-S35;Tous âges;53.400998491;26.752273943;177.39872068
2020-08-31;2020-S36;05-14 ans;66.357000664;122.05044752;203.12301638
2020-09-07;2020-S37;15-64 ans;124.38695003;8.4413117799;528.45217125
2020-09-07;2020-S37;65 ans ou plus;16.39564174;10.348752975;149.2194674
2020-09-14;2020-S38;15-64 ans;138.45778456;20.613456464;472.52695066
2020-09-14;2020-S38;65 ans ou plus;16.586248492;17.298643786;103.69141435
2020-09-21;2020-S39;00-04 ans;78.992225502;71.326676177;156.60763763
2020-09-28;2020-S40;05-14 ans;77.197722667;83.437630371;258.96142838
2020-10-05;2020-S41;05-14 ans;56.160494212;0.0;362.85445505
2020-10-05;2020-S41;15-64 ans;106.10923946;25.926886181;576.11061324
2020-10-05;2020-S41;Tous âges;80.0983327;18.842391956;417.27331402
2020-10-12;2020-S42;00-04 ans;132.32983211;66.6000666;180.09004502
2020-10-12;2020-S42;05-14 ans;72.651790348;85.579803166;323.815131
2020-10-12;2020-S42;15-64 ans;148.17444981;31.062791214;795.0028393
2020-10-19;2020-S43;15-64 ans;180.79577639;40.167812193;770.43984643
2020-10-19;2020-S43;65 ans ou plus;36.723639313;29.625728299;246.54398169
2020-10-26;2020-S44;05-14 ans;84.797092671;0.0;380.49940547
2020-10-26;2020-S44;15-64 ans;151.70828218;46.405865701;539.29121726
2020-10-26;2020-S44;Tous âges;111.9607739;47.108276562;424.83552088
2020-11-02;2020-S45;15-64 ans;124.52266312;51.279660622;596.32363584
2020-11-02;2020-S45;Tous âges;99.615702725;34.570596798;435.05815049
2020-11-09;2020-S46;Tous âges;79.632520662;56.775516932;357.36843855
2020-11-16;2020-S47;00-04 ans;88.23666001;75.700227101;228.65853659
2020-11-23;2020-S48;05-14 ans;49.274153811;40.95004095;395.32202273
