date,week,year,region,urgences_grippe,urgences_totales
2020-01-05,1,2020,Île-de-France,58.0,576.0
2020-01-12,2,2020,Île-de-France,99.0,994.0
2020-01-19,3,2020,Île-de-France,80.0,796.0
2020-01-26,4,2020,Île-de-France,94.0,944.0
2020-02-02,5,2020,Île-de-France,120.0,1200.0
2020-02-09,6,2020,Île-de-France,163.0,1633.0
2020-02-16,7,2020,Île-de-France,191.0,1908.0
2020-02-23,8,2020,Île-de-France,180.0,1803.0
2020-03-01,9,2020,Île-de-France,243.0,2433.0
2020-03-08,10,2020,Île-de-France,268.0,2685.0
2020-03-15,11,2020,Île-de-France,230.0,2296.0
2020-03-22,12,2020,Île-de-France,266.0,2655.0
2020-03-29,13,2020,Île-de-France,356.0,3562.0
2020-04-05,14,2020,Île-de-France,338.0,3383.0
2020-04-12,15,2020,Île-de-France,386.0,3860.0
2020-04-19,16,2020,Île-de-France,395.0,3947.0
2020-04-26,17,2020,Île-de-France,427.0,4270.0
2020-05-03,18,2020,Île-de-France,410.0,4095.0
2020-05-10,19,2020,Île-de-France,444.0,4444.0
2020-05-17,20,2020,Île-de-France,487.0,4867.0
2020-05-24,21,2020,Île-de-France,476.0,4764.0
2020-05-31,22,2020,Île-de-France,433.0,4328.0
2020-06-07,23,2020,Île-de-France,448.0,4484.0
2020-06-14,24,2020,Île-de-France,461.0,4614.0
2020-06-21,25,2020,Île-de-France,473.0,4726.0
2020-06-28,26,2020,Île-de-France,445.0,4451.0
2020-07-05,27,2020,Île-de-France,455.0,4550.0
2020-07-12,28,2020,Île-de-France,451.0,4509.0
2020-07-19,29,2020,Île-de-France,453.0,4529.0
2020-07-26,30,2020,Île-de-France,431.0,4311.0
2020-08-02,31,2020,Île-de-France,364.0,3637.0
2020-08-09,32,2020,Île-de-France,365.0,3646.0
2020-08-16,33,2020,Île-de-France,301.0,3009.0
2020-08-23,34,2020,Île-de-France,347.0,3468.0
2020-08-30,35,2020,Île-de-France,274.0,2741.0
2020-09-06,36,2020,Île-de-France,231.0,2307.0
2020-09-13,37,2020,Île-de-France,244.0,2437.0
2020-09-20,38,2020,Île-de-France,207.0,2068.0
2020-09-27,39,2020,Île-de-France,190.0,1900.0
2020-10-04,40,2020,Île-de-France,159.0,1586.0
2020-10-11,41,2020,Île-de-France,134.0,1342.0
2020-10-18,42,2020,Île-de-France,110.0,1099.0
2020-10-25,43,2020,Île-de-France,89.0,888.0
2020-11-01,44,2020,Île-de-France,80.0,803.0
2020-11-08,45,2020,Île-de-France,37.0,374.0
2020-11-15,46,2020,Île-de-France,46.0,456.0
2020-11-22,47,2020,Île-de-France,38.0,380.0
2020-11-29,48,2020,Île-de-France,25.0,246.0
2020-12-06,49,2020,Île-de-France,4.0,45.0
2020-12-13,50,2020,Île-de-France,5.0,48.0
2020-12-20,51,2020,Île-de-France,19.0,186.0
2020-12-27,52,2020,Île-de-France,27.0,265.0
2021-01-03,53,2021,Île-de-France,44.0,441.0
2021-01-10,1,2021,Île-de-France,55.0,548.0
2021-01-17,2,2021,Île-de-France,40.0,400.0
2021-01-24,3,2021,Île-de-France,98.0,976.0
2021-01-31,4,2021,Île-de-France,85.0,848.0
2021-02-07,5,2021,Île-de-France,106.0,1063.0
2021-02-14,6,2021,Île-de-France,117.0,1168.0
2021-02-21,7,2021,Île-de-France,176.0,1765.0
2021-02-28,8,2021,Île-de-France,203.0,2031.0
2021-03-07,9,2021,Île-de-France,235.0,2355.0
2021-03-14,10,2021,Île-de-France,269.0,2693.0
2021-03-21,11,2021,Île-de-France,289.0,2895.0
2021-03-28,12,2021,Île-de-France,283.0,2826.0
2021-04-04,13,2021,Île-de-France,356.0,3565.0
2021-04-11,14,2021,Île-de-France,328.0,3279.0
2021-04-18,15,2021,Île-de-France,378.0,3778.0
2021-04-25,16,2021,Île-de-France,389.0,3888.0
2021-05-02,17,2021,Île-de-France,405.0,4051.0
2021-05-09,18,2021,Île-de-France,455.0,4553.0
