wiki_grippe_views,wiki_vaccination_views,date
706.0,315.0,2023-10-17
1445.0,854.0,2023-10-24
1142.0,867.0,2023-10-31
1401.0,915.0,2023-11-07
1406.0,1069.0,2023-11-14
1959.0,982.0,2023-11-21
2061.0,860.0,2023-11-28
2642.0,1080.0,2023-12-05
2718.0,1129.0,2023-12-12
2294.0,687.0,2023-12-19
2197.0,661.0,2023-12-26
2557.0,963.0,2024-01-02
2880.0,1014.0,2024-01-09
3308.0,1105.0,2024-01-16
3683.0,967.0,2024-01-23
3052.0,903.0,2024-01-30
2750.0,795.0,2024-02-06
2234.0,885.0,2024-02-13
1755.0,874.0,2024-02-20
1392.0,890.0,2024-02-27
1317.0,850.0,2024-03-05
1291.0,978.0,2024-03-12
1183.0,1037.0,2024-03-19
989.0,1413.0,2024-03-26
1000.0,863.0,2024-04-02
882.0,827.0,2024-04-09
947.0,1026.0,2024-04-16
1013.0,1007.0,2024-04-23
993.0,889.0,2024-04-30
859.0,996.0,2024-05-07
764.0,1032.0,2024-05-14
849.0,926.0,2024-05-21
777.0,895.0,2024-05-28
729.0,882.0,2024-06-04
706.0,795.0,2024-06-11
669.0,742.0,2024-06-18
615.0,592.0,2024-06-25
552.0,773.0,2024-07-02
529.0,577.0,2024-07-09
532.0,586.0,2024-07-16
498.0,538.0,2024-07-23
548.0,661.0,2024-07-30
765.0,509.0,2024-08-06
594.0,826.0,2024-08-13
566.0,763.0,2024-08-20
670.0,575.0,2024-08-27
694.0,591.0,2024-09-03
755.0,581.0,2024-09-10
858.0,524.0,2024-09-17
947.0,602.0,2024-09-24
1210.0,619.0,2024-10-01
1134.0,641.0,2024-10-08
1251.0,592.0,2024-10-15
1178.0,536.0,2024-10-22
1023.0,522.0,2024-10-29
1002.0,615.0,2024-11-05
1157.0,849.0,2024-11-12
1159.0,775.0,2024-11-19
1146.0,679.0,2024-11-26
1429.0,729.0,2024-12-03
1796.0,621.0,2024-12-10
2048.0,538.0,2024-12-17
2573.0,936.0,2024-12-24
3282.0,631.0,2024-12-31
3896.0,767.0,2025-01-07
3387.0,826.0,2025-01-14
3663.0,892.0,2025-01-21
3275.0,802.0,2025-01-28
2905.0,697.0,2025-02-04
2354.0,683.0,2025-02-11
1827.0,808.0,2025-02-18
1288.0,703.0,2025-02-25
1113.0,705.0,2025-03-04
1054.0,1205.0,2025-03-11
1287.0,783.0,2025-03-18
827.0,854.0,2025-03-25
807.0,756.0,2025-04-01
701.0,832.0,2025-04-08
744.0,718.0,2025-04-15
705.0,814.0,2025-04-22
595.0,975.0,2025-04-29
674.0,1132.0,2025-05-06
667.0,979.0,2025-05-13
640.0,1042.0,2025-05-20
500.0,833.0,2025-05-27
552.0,847.0,2025-06-03
499.0,718.0,2025-06-10
469.0,693.0,2025-06-17
410.0,720.0,2025-06-24
400.0,633.0,2025-07-01
400.0,423.0,2025-07-08
489.0,567.0,2025-07-15
420.0,438.0,2025-07-22
432.0,478.0,2025-07-29
506.0,436.0,2025-08-05
456.0,407.0,2025-08-12
493.0,432.0,2025-08-19
527.0,571.0,2025-08-26
653.0,537.0,2025-09-02
690.0,657.0,2025-09-09
1049.0,692.0,2025-09-16
865.0,606.0,2025-09-23
924.0,757.0,2025-09-30
915.0,577.0,2025-10-07
823.0,486.0,2025-10-14
