feature,importance
month,0.22585510443285936
is_winter,0.22218365463138257
cas_sentinelles_ma8,0.05052145295874665
ias_syndrome_grippal_ma8,0.04463881685542689
taux_vaccination,0.03867027909673602
cas_sentinelles_ma4,0.03802671617459506
ias_syndrome_grippal,0.02137459343889139
ias_syndrome_grippal_ma3,0.021208137336383364
urgences_grippe_ma4,0.0210868828013792
ias_syndrome_grippal_lag4,0.020844453429358284
cas_sentinelles_lag12,0.017812630676890283
is_autumn,0.01690536199204665
urgences_grippe_ma3,0.01674368533246832
ias_syndrome_grippal_ma4,0.016563104395231582
ias_syndrome_grippal_lag12,0.014520046455700212
urgences_grippe_ma8,0.014298940006690438
urgences_grippe_lag3,0.01381551539796436
urgences_grippe_lag8,0.01357326431580124
flurisk,0.012851543104583672
cas_sentinelles_lag8,0.012686934101453167
ias_syndrome_grippal_lag8,0.012105842427698766
ias_syndrome_grippal_lag3,0.011263006311594295
urgences_grippe_lag12,0.010835724685875863
cas_sentinelles_ma3,0.009834829366709883
urgences_grippe_lag2,0.00960360672752042
ias_syndrome_grippal_lag1,0.009470657049074873
ias_syndrome_grippal_lag2,0.009394752217237892
urgences_grippe_lag4,0.009043829836468578
pct_65_plus,0.008735719968159238
cas_sentinelles_lag4,0.007629096882370775
cas_sentinelles_lag3,0.007009992597282565
sentinelles_per_100k,0.006809430183083836
urgences_per_100k,0.006188423455252058
urgences_grippe_lag1,0.0059955518841190115
cas_sentinelles_lag2,0.005936872872476207
cas_sentinelles,0.0058914964919650845
cas_sentinelles_lag1,0.00522726256425376
population_totale,0.004842787544268104
wiki_grippe_views_ma8,0.0
wiki_grippe_views_ma4,0.0
wiki_grippe_views_ma3,0.0
temp_cold,0.0
temp_mild,0.0
wiki_vaccination_views_ma3,0.0
wiki_vaccination_views_ma4,0.0
temp_warm,0.0
humidity_high,0.0
wiki_vaccination_views_ma8,0.0
wiki_grippe_views,0.0
wiki_vaccination_views_lag12,0.0
wiki_grippe_views_lag3,0.0
wiki_grippe_views_zscore,0.0
wiki_vaccination_views_zscore,0.0
temperature,0.0
humidity,0.0
wiki_grippe_views_lag1,0.0
wiki_vaccination_views,0.0
wiki_grippe_views_lag4,0.0
wiki_vaccination_views_lag8,0.0
wiki_grippe_views_lag8,0.0
wiki_grippe_views_lag12,0.0
wiki_vaccination_views_lag1,0.0
wiki_vaccination_views_lag2,0.0
wiki_vaccination_views_lag3,0.0
wiki_vaccination_views_lag4,0.0
wiki_grippe_views_lag2,0.0
