feature,importance
incidence,0.21920596719099714
incidence_borne_sup,0.1746576292407983
incidence_100k_borne_sup,0.157953781233492
incidence_100k_borne_inf,0.15080818892727807
incidence_100k_zscore,0.12722289222935598
incidence_borne_inf,0.12212879473209962
ias_x_incidence,0.02383759153335166
ias_lisse_zscore,0.005698101746398576
incidence_100k_std7,0.002846669957174865
ias_lisse_anomaly,0.0024753254940063454
ias_lisse_std3,0.001809765342461993
ias_lisse,0.0017258137913388643
incidence_100k_anomaly,0.0015615320886738803
ias_lisse_std7,0.001501077463437944
incidence_100k_lag1,0.0013642834724409024
ias_brut_lag3,0.0005207202129993375
ias_brut_lag2,0.0004231654976505621
incidence_100k_lag3,0.0003118958409734191
ias_lisse_pct_change,0.0002077559310003105
ias_brut_lag4,0.00019197144503800716
ias_brut_pct_change,0.00015671386592300566
ias_brut_ma3,0.00015049509507513415
semaine_annee,0.00014470196837163698
sin_semaine,0.0001353801794963676
ias_lisse_ma7,0.00012505610898932908
ias_brut_ma7,0.00012054187871143289
taux_sos_medecins_grippe_lag1,0.0001203334790398316
taux_urgences_grippe_lag1,0.00011131478434748647
taux_sos_medecins_grippe_lag4,0.00010956096834818213
ias_lisse_ma3,9.886262110288693e-05
incidence_100k_ma7,9.621518098676545e-05
incidence_100k_diff,9.128852816570954e-05
semaine_urg,9.012374768482874e-05
mois,8.938937894511505e-05
ias_lisse_lag2,8.82171292849739e-05
incidence_100k_std3,8.44235722517028e-05
taux_sos_medecins_grippe_diff,8.245902098604629e-05
taux_urgences_grippe.1,8.152772008389275e-05
incidence_100k_ma3,8.142157929375662e-05
incidence_100k_lag4,7.866662624722086e-05
taux_urgences_grippe_pct_change,7.856743648587634e-05
taux_urgences_grippe_lag3,7.455096700983039e-05
ias_lisse_lag1,7.143425123629142e-05
ias_brut_std7,7.080522074095993e-05
taux_urgences_grippe_diff,5.881657722724143e-05
jour_annee,5.5057311089320406e-05
taux_sos_medecins_grippe_std3,5.221947844843047e-05
cos_mois,5.13017914376997e-05
taux_urgences_grippe_std3,4.778291376331061e-05
ias_brut_std3,4.2609823476087644e-05
taux_urgences_grippe_lag2,3.983163196301378e-05
taux_sos_medecins_grippe_pct_change,3.936733692370573e-05
ias_brut_lag1,3.800684395352299e-05
ias_brut,3.698482424855325e-05
taux_sos_medecins_grippe,3.6497041761796224e-05
taux_urgences_grippe_zscore,3.568434118714822e-05
semaine,3.35201227890494e-05
cos_semaine,3.321708277697273e-05
taux_urgences_grippe_ma3,3.296048498988493e-05
taux_sos_medecins_grippe_lag2,3.118080927508445e-05
sin_mois,3.0480836626168533e-05
ias_lisse_lag3,3.0140259581735626e-05
ias_lisse_lag4,2.801781371472532e-05
taux_urgences_grippe_std7,2.606390066785167e-05
taux_sos_medecins_grippe_ma3,2.5936896642471005e-05
annee,2.43688008390316e-05
incidence_100k_pct_change,2.357940433221445e-05
taux_urgences_grippe_lag4,2.351045377536257e-05
taux_sos_medecins_grippe_lag3,2.1772104503027835e-05
doses,2.1618529508737017e-05
taux_sos_medecins_grippe_std7,1.940806205383901e-05
ias_brut_diff,1.7343508951866593e-05
doses_std3,1.7010692575674258e-05
taux_sos_medecins_grippe_ma7,1.591078898450561e-05
annee_urg,1.308578140194699e-05
incidence_100k_lag2,1.303795776802383e-05
doses_diff,1.2853847381925412e-05
urgences_per_incidence,1.2159870638250735e-05
taux_urgences_grippe_ma7,1.129926129614429e-05
taux_urgences_grippe,8.538500644330244e-06
ias_lisse_diff,8.006558839934099e-06
trimestre,7.958286271748276e-06
doses_std7,5.8972733787026766e-06
ratio_doses_actes,5.599444787188824e-06
actes_std7,5.112766555893572e-06
actes_ma3,4.745810255956242e-06
doses_lag3,4.3804210019225085e-06
doses_pct_change,2.4540706336612854e-06
actes_std3,2.282052603910246e-06
actes_pct_change,1.940732089950976e-06
doses_ma3,1.400321464805027e-06
actes_diff,7.462656171289926e-07
actes_ma7,4.856586976458169e-07
taux_urgences_grippe_anomaly,4.130403767772623e-07
doses_lag2,3.768461431122041e-07
actes,3.713029509041843e-07
doses_ma7,3.5990338392074364e-07
actes_lag4,3.0339379754446825e-07
doses_lag4,2.9756458428853556e-07
actes_lag1,2.9484065358445887e-07
doses_lag1,2.165814443744152e-07
actes_lag2,1.1494655552955492e-07
periode_epidemique,5.575312822488566e-08
actes_lag3,3.2876076019696084e-08
incidence_sentinelles,2.9217327380876434e-09
